+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                            ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; mm_interconnect_0|nios2_qsys_0_instruction_master_agent                                                                                                                                          ; 175   ; 39             ; 80           ; 39             ; 134    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|nios2_qsys_0_data_master_agent                                                                                                                                                 ; 175   ; 39             ; 80           ; 39             ; 134    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|uart_0_s1_translator                                                                                                                                                           ; 85    ; 22             ; 34           ; 22             ; 57     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                                                                 ; 101   ; 7              ; 4            ; 7              ; 87     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|botaosubir_s1_translator                                                                                                                                                       ; 101   ; 6              ; 19           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|botaodescer_s1_translator                                                                                                                                                      ; 101   ; 6              ; 19           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|botaoentrar_s1_translator                                                                                                                                                      ; 101   ; 6              ; 19           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|botaovoltar_s1_translator                                                                                                                                                      ; 101   ; 6              ; 19           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|ledvermelho_s1_translator                                                                                                                                                      ; 101   ; 6              ; 19           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|ledverde_s1_translator                                                                                                                                                         ; 101   ; 6              ; 19           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|ledazul_s1_translator                                                                                                                                                          ; 101   ; 6              ; 19           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator                                                                                                                                      ; 101   ; 5              ; 9            ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|lcd_16207_0_control_slave_translator                                                                                                                                           ; 77    ; 30             ; 43           ; 30             ; 47     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                                       ; 101   ; 5              ; 20           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|nios2_qsys_0_instruction_master_translator                                                                                                                                     ; 102   ; 51             ; 0            ; 51             ; 94     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|nios2_qsys_0_data_master_translator                                                                                                                                            ; 102   ; 12             ; 0            ; 12             ; 94     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0                                                                                                                                                                                ; 424   ; 0              ; 0            ; 0              ; 355    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; uart_0|the_ProjetoSemInstruction_uart_0_regs                                                                                                                                                     ; 41    ; 9              ; 6            ; 9              ; 40     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; uart_0|the_ProjetoSemInstruction_uart_0_rx|the_ProjetoSemInstruction_uart_0_rx_stimulus_source                                                                                                   ; 14    ; 0              ; 13           ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; uart_0|the_ProjetoSemInstruction_uart_0_rx                                                                                                                                                       ; 16    ; 1              ; 0            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; uart_0|the_ProjetoSemInstruction_uart_0_tx                                                                                                                                                       ; 24    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; uart_0                                                                                                                                                                                           ; 26    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0|the_altsyncram|auto_generated|mux2                                                                                                                                              ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0|the_altsyncram|auto_generated|decode3                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                                                   ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0                                                                                                                                                                                 ; 57    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_jtag_debug_module_wrapper|the_ProjetoSemInstruction_nios2_qsys_0_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_jtag_debug_module_wrapper|the_ProjetoSemInstruction_nios2_qsys_0_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_jtag_debug_module_wrapper                                                                   ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_im                                                                                ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_pib                                                                               ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo|the_ProjetoSemInstruction_nios2_qsys_0_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_fifo                                                                              ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_dtrace|ProjetoSemInstruction_nios2_qsys_0_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_dtrace                                                                            ; 103   ; 0              ; 92           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_itrace                                                                            ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_dbrk                                                                              ; 88    ; 0              ; 0            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_xbrk                                                                              ; 54    ; 5              ; 51           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_break                                                                             ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_avalon_reg                                                                            ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_ocimem|ProjetoSemInstruction_nios2_qsys_0_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_ocimem|ProjetoSemInstruction_nios2_qsys_0_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_ocimem                                                                                ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci_debug                                                                             ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_nios2_oci                                                                                                                                    ; 158   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|ProjetoSemInstruction_nios2_qsys_0_register_bank_b|the_altsyncram|auto_generated                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|ProjetoSemInstruction_nios2_qsys_0_register_bank_b                                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|ProjetoSemInstruction_nios2_qsys_0_register_bank_a|the_altsyncram|auto_generated                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|ProjetoSemInstruction_nios2_qsys_0_register_bank_a                                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_ProjetoSemInstruction_nios2_qsys_0_test_bench                                                                                                                                   ; 272   ; 3              ; 238          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0                                                                                                                                                                                     ; 149   ; 0              ; 30           ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ledvermelho                                                                                                                                                                                      ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ledverde                                                                                                                                                                                         ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ledazul                                                                                                                                                                                          ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lcd_16207_0                                                                                                                                                                                      ; 15    ; 0              ; 3            ; 0              ; 11     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                              ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                                   ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                    ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                                ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                           ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                                                  ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_r                                                                                                                                       ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                              ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                                   ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                    ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                                ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                           ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                                                  ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_ProjetoSemInstruction_jtag_uart_0_scfifo_w                                                                                                                                       ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0                                                                                                                                                                                      ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; botaovoltar                                                                                                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; botaosubir                                                                                                                                                                                       ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; botaoentrar                                                                                                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; botaodescer                                                                                                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
